zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated,ls_id,lmi_id,pl_id
2082643290,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",1,1364,13375
442499421,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",2,1340,NULL
88184065,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",3,1597,11965
442727692,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",4,743,NULL
431922409,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",5,461,NULL
442720814,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",6,2225,NULL
2053617927,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",7,1952,11910
442707906,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",8,2600,NULL
10318377,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",9,2193,11694
10283430,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",10,1519,11650
88287138,0,0,0,0,0,1,0,0,0,"2024-11-20 23:54:07",11,2333,11968
2065672345,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",12,1111,12311
44208737,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",13,2542,12128
442705938,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",14,872,NULL
13332751,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",15,1576,12306
343600676,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",16,1851,12475
347128492,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",17,1894,11753
97643028,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",18,1245,12231
346924299,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",19,1010,12527
442727038,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",20,1154,NULL
442717634,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",21,1155,NULL
2054131079,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",22,1843,11856
441623348,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",23,1431,NULL
442707828,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",24,1220,NULL
442721974,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",25,1870,NULL
20455234,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",26,607,12410
10284899,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",27,1504,11649
442703892,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",28,1684,NULL
2054674178,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",29,661,12136
442565819,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",30,2036,NULL
336775125,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",31,1383,12264
20631987,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",32,714,12401
420796993,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",33,1457,NULL
110086351,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",34,2508,11947
442580428,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",35,1918,NULL
2053481640,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",36,1019,11938
442720892,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",37,199,NULL
