zpid,event,price,pricePerSquareFoot,priceChangeRate,dateOfEvent,source,postingIsRental,lastUpdated,lph_id,pl_id,lti_id
2102245412,Sold,NULL,NULL,0,2016-05-09,,0,"2024-11-20 23:54:06",126,12229,NULL
43851903,Sold,280000,139,-0.07,2010-02-27,,0,"2024-11-20 23:54:06",127,9230,13365
35932638,Sold,138000,NULL,0.12,2016-08-02,,0,"2024-11-20 22:18:43",128,9139,11961
69663159,Sold,NULL,NULL,0,2022-01-13,,0,"2024-11-20 23:54:06",129,9675,11850
3855413,Sold,250000,179,-0.2,2013-08-02,,0,"2024-11-20 23:54:06",130,NULL,17136
28133014,Sold,NULL,NULL,0,2020-07-02,,0,"2024-11-20 23:54:06",131,9640,14325
35932638,Sold,57000,NULL,-0.59,2008-06-20,,0,"2024-11-20 23:54:06",132,9139,11961
26430359,Sold,NULL,NULL,0,2013-10-11,,0,"2024-11-20 23:54:06",133,9729,14552
27992647,Sold,NULL,NULL,0,2016-11-28,,0,"2024-11-26 06:02:40",134,2138,77085
36536640,Sold,200000,187,-0.15,2016-06-24,,0,"2024-11-20 23:54:06",135,8271,9569
27914761,Sold,NULL,NULL,0,1993-03-08,,0,"2024-11-20 23:54:06",136,12167,6150
29487942,Sold,NULL,NULL,0,2020-05-25,,0,"2024-11-20 23:54:06",137,NULL,20161
80857969,Sold,366500,342,0.19,2007-09-04,,0,"2024-11-20 23:54:06",138,NULL,29138
26748300,Sold,NULL,NULL,0,2014-02-27,,0,"2024-11-26 06:02:40",139,2112,90992
26611028,Sold,NULL,NULL,0,2015-02-03,,0,"2024-11-20 23:54:06",140,9547,10082
58247461,Sold,NULL,NULL,0,2011-06-07,,0,"2024-11-20 23:54:06",141,9725,13573
2097532682,Sold,735000,311,0,2018-05-23,,0,"2024-11-20 23:54:06",142,11658,NULL
26634304,Sold,NULL,NULL,0,2018-12-20,,0,"2024-11-20 23:54:06",143,9549,11399
35932638,Sold,138000,NULL,0.12,2016-08-02,,0,"2024-11-20 23:54:06",144,9139,11961
92193324,Sold,1600000,814,0,2010-04-02,,0,"2024-11-20 22:18:43",145,3507,11202
29426342,Sold,NULL,NULL,0,2023-11-28,,0,"2024-11-20 23:54:06",146,NULL,14066
92193324,Sold,1600000,814,0,2010-04-02,,0,"2024-11-20 23:54:06",147,3507,11202
11296896,Sold,40000,35,0,1992-10-19,,0,"2024-11-20 23:54:06",148,11605,33279
26648096,Sold,NULL,NULL,0,2019-09-25,,0,"2024-11-26 06:02:40",149,2053,74658
83994913,Sold,NULL,NULL,0,2017-03-14,,0,"2024-11-20 23:54:06",150,NULL,9987
73619429,Sold,75000,35,0,1993-10-18,,0,"2024-11-20 23:54:06",151,NULL,17973
80590677,Sold,NULL,NULL,0,2011-06-06,,0,"2024-11-26 06:02:40",152,5493,79254
2065580339,Sold,NULL,NULL,0,2022-08-25,,0,"2024-11-20 23:54:06",153,9668,16792
34232848,Sold,70740,35,140.48,2018-06-13,,0,"2024-11-20 23:54:06",154,NULL,8148
26461995,Sold,NULL,NULL,0,2023-03-23,,0,"2024-11-26 06:02:40",155,NULL,75342
28472672,Sold,NULL,NULL,0,2015-05-14,,0,"2024-11-20 23:54:06",156,9666,12820
19998955,Sold,32000,35,0,1976-01-16,,0,"2024-11-20 23:54:06",157,12446,51340
28031508,Sold,NULL,NULL,0,2017-09-02,,0,"2024-11-26 06:02:40",158,2135,72965
73498802,Sold,99500,37,0,1982-06-25,,0,"2024-11-20 23:54:06",159,11935,40526
27910003,Sold,NULL,NULL,0,2017-03-08,,0,"2024-11-26 06:02:40",160,2104,88174
136702408,Sold,45000,39,0,2020-11-30,,0,"2024-11-20 23:54:06",161,9876,11481
29351307,Sold,NULL,NULL,0,2014-05-26,,0,"2024-11-26 06:02:40",162,NULL,90982
44493572,Sold,59900,39,0,1995-04-01,,0,"2024-11-20 23:54:06",163,9210,5040
27845419,Sold,NULL,NULL,0,2014-01-31,,0,"2024-11-26 06:02:40",164,2108,75371
2144450487,Sold,155000,43,0,2006-10-18,,0,"2024-11-20 23:54:06",165,NULL,NULL
30185938,Sold,56000,43,0,2001-12-18,,0,"2024-11-20 23:54:06",166,NULL,24070
89365744,Sold,NULL,NULL,0,2018-07-24,,0,"2024-11-20 23:54:06",167,NULL,54357
89635548,Sold,NULL,NULL,0,2019-08-09,,0,"2024-11-20 23:54:06",168,12204,48918
26374551,Sold,NULL,NULL,0,2015-12-01,,0,"2024-11-20 23:54:06",169,NULL,11615
58247824,Sold,NULL,NULL,0,2014-05-15,,0,"2024-11-20 23:54:06",170,NULL,35653
80019439,Sold,NULL,NULL,0,2019-02-11,,0,"2024-11-20 23:54:06",171,NULL,54316
26442801,Sold,NULL,NULL,0,2018-11-17,,0,"2024-11-20 23:54:06",172,12319,16428
79981339,Sold,NULL,NULL,0,2021-07-22,,0,"2024-11-20 23:54:06",173,NULL,10500
29432324,Sold,NULL,NULL,0,2017-09-21,,0,"2024-11-20 23:54:06",174,12304,4940
26740858,Sold,NULL,NULL,0,2018-11-29,,0,"2024-11-26 06:02:40",175,NULL,89303
36493894,Sold,11900,NULL,0,2011-02-04,,0,"2024-11-20 23:54:06",176,3312,11663
11395570,Sold,68000,NULL,0,1993-07-09,,0,"2024-11-20 23:54:06",177,8984,9899
90006903,Sold,350000,NULL,-0.12,2017-10-19,,0,"2024-11-26 06:02:40",178,NULL,88614
73652397,Sold,170000,45,0,1999-01-08,,0,"2024-11-20 23:54:06",179,9928,16001
28419672,Sold,NULL,NULL,0,1998-04-17,,0,"2024-11-20 23:54:06",180,9570,12881
