zpid,zpidComp,addressComp,cityComp,stateComp,zipComp,priceComp,homeTypeComp,homeStatusComp,livingAreaValueComp,livingAreaUnitsComp,lotAreaValueComp,lotAreaUnitsComp,lastUpdated,lsi_id,lnh_id
35890187,35890188,"692 Ira St SW",Atlanta,GA,30310,480000,"Single Family",Sold,2642,"Square Feet",5227,"Square Feet","2024-11-20 23:54:06",5145,42
71753253,71756916,"455 Glen Iris Dr NE UNIT T",Atlanta,GA,30308,396400,Condo,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 22:18:43",5605,43
35890187,249013594,"702 Ira St SW",Atlanta,GA,30310,293700,"Single Family",Other,1835,"Square Feet",5000,"Square Feet","2024-11-20 22:18:43",5145,44
35855662,35855661,"1834 Calloway Dr NW",Atlanta,GA,30314,186600,"Single Family",Other,1280,"Square Feet",0,Acres,"2024-11-20 22:18:43",11798,45
71753253,71756916,"455 Glen Iris Dr NE UNIT T",Atlanta,GA,30308,396400,Condo,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 23:54:06",5605,46
35890187,249013594,"702 Ira St SW",Atlanta,GA,30310,293700,"Single Family",Other,1835,"Square Feet",5000,"Square Feet","2024-11-20 23:54:06",5145,47
71753253,71753234,"455 Glen Iris Dr NE UNIT U",Atlanta,GA,30308,433500,Townhouse,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 23:54:06",5605,48
35872042,35872011,"860 Bonneville Ter NW",Atlanta,GA,30331,143100,"Single Family",Other,1000,"Square Feet",7562,"Square Feet","2024-11-20 23:54:06",3705,49
35890187,69346567,"697 Garibaldi St SW",Atlanta,GA,30310,590000,"Single Family",Sold,0,"Square Feet",5009,"Square Feet","2024-11-20 22:18:43",5145,50
65469455,65469451,"195 14th St NE UNIT 510",Atlanta,GA,30309,313500,Condo,"Recently Sold",740,"Square Feet",741,"Square Feet","2024-11-20 22:18:43",5655,51
35921943,35921942,"1999 W Wesley Rd NW",Atlanta,GA,30327,1505500,"Single Family",Other,5602,"Square Feet",3,Acres,"2024-11-20 22:18:43",8644,52
35855662,35855661,"1834 Calloway Dr NW",Atlanta,GA,30314,186600,"Single Family",Other,1280,"Square Feet",0,Acres,"2024-11-20 23:54:06",11798,53
35890187,249112158,"697 Garibaldi St SW",Atlanta,GA,30310,585700,"Single Family",Other,2484,"Square Feet",5000,"Square Feet","2024-11-20 23:54:06",5145,54
35921943,35921942,"1999 W Wesley Rd NW",Atlanta,GA,30327,1505500,"Single Family",Other,5602,"Square Feet",3,Acres,"2024-11-20 23:54:06",8644,55
35872042,35872010,"866 Bonneville Ter NW",Atlanta,GA,30331,150400,"Single Family",Other,1264,"Square Feet",8250,"Square Feet","2024-11-20 22:18:43",3705,56
35890187,249112158,"697 Garibaldi St SW",Atlanta,GA,30310,585700,"Single Family",Other,2484,"Square Feet",5000,"Square Feet","2024-11-20 22:18:43",5145,57
65469455,65469451,"195 14th St NE UNIT 510",Atlanta,GA,30309,313500,Condo,"Recently Sold",740,"Square Feet",741,"Square Feet","2024-11-20 23:54:06",5655,58
2132563976,88811388,"870 Mayson Turner Rd NW",Atlanta,GA,30314,152600,Apartment,Other,1000,"Square Feet",1080,"Square Feet","2024-11-20 23:54:06",51114,59
35855662,35855650,"1843 Calloway Dr NW",Atlanta,GA,30314,248900,"Single Family",Other,1562,"Square Feet",9439,"Square Feet","2024-11-20 23:54:06",11798,60
35921943,35921874,"2000 W Wesley Rd NW",Atlanta,GA,30327,1332600,"Single Family",Other,3328,"Square Feet",2,Acres,"2024-11-20 22:18:43",8644,61
35872042,35872010,"866 Bonneville Ter NW",Atlanta,GA,30331,150400,"Single Family",Other,1264,"Square Feet",8250,"Square Feet","2024-11-20 23:54:06",3705,62
35890187,69346567,"697 Garibaldi St SW",Atlanta,GA,30310,590000,"Single Family",Sold,0,"Square Feet",5009,"Square Feet","2024-11-20 23:54:06",5145,63
65469455,65469462,"195 14th St NE UNIT 609",Atlanta,GA,30309,267000,Condo,Sold,693,"Square Feet",693,"Square Feet","2024-11-20 23:54:06",5655,64
2132563976,88811388,"870 Mayson Turner Rd NW",Atlanta,GA,30314,152600,Apartment,Other,1000,"Square Feet",1080,"Square Feet","2024-11-20 22:18:43",51114,65
69375258,69367221,"2821 Brookford Ln SW",Atlanta,GA,30331,321200,"Single Family",Other,1967,"Square Feet",9178,"Square Feet","2024-11-20 23:54:06",16980,66
35921943,35921874,"2000 W Wesley Rd NW",Atlanta,GA,30327,1332600,"Single Family",Other,3328,"Square Feet",2,Acres,"2024-11-20 23:54:06",8644,67
35855662,35855650,"1843 Calloway Dr NW",Atlanta,GA,30314,248900,"Single Family",Other,1562,"Square Feet",9439,"Square Feet","2024-11-20 22:18:43",11798,68
71753253,71753234,"455 Glen Iris Dr NE UNIT U",Atlanta,GA,30308,433500,Townhouse,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 22:18:43",5605,69
35872042,35872009,"874 Bonneville Ter NW",Atlanta,GA,30331,195000,"Single Family",Sold,900,"Square Feet",7331,"Square Feet","2024-11-20 22:18:43",3705,70
2132563976,88811071,"870 Mayson Turner Rd NW UNIT 1101",Atlanta,GA,30314,100000,Condo,Sold,857,"Square Feet",862,"Square Feet","2024-11-20 22:18:43",51114,71
65469455,65469462,"195 14th St NE UNIT 609",Atlanta,GA,30309,267000,Condo,Sold,693,"Square Feet",693,"Square Feet","2024-11-20 22:18:43",5655,72
35921943,35921937,"2041 W Wesley Rd NW",Atlanta,GA,30327,1516400,"Single Family",Other,4400,"Square Feet",2,Acres,"2024-11-20 22:18:43",8644,73
35855662,35855663,"1848 Calloway Dr NW",Atlanta,GA,30314,270300,"Single Family",Other,2181,"Square Feet",9591,"Square Feet","2024-11-20 22:18:43",11798,74
71753253,71758182,"455 Glen Iris Dr NE UNIT V",Atlanta,GA,30308,430400,Townhouse,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 23:54:06",5605,75
69375258,69376323,"2824 Brookford Ln SW",Atlanta,GA,30331,409800,"Single Family",Other,2946,"Square Feet",0,Acres,"2024-11-20 23:54:06",16980,76
2132563976,88811071,"870 Mayson Turner Rd NW UNIT 1101",Atlanta,GA,30314,100000,Condo,Sold,857,"Square Feet",862,"Square Feet","2024-11-20 23:54:06",51114,77
35872042,35872009,"874 Bonneville Ter NW",Atlanta,GA,30331,195000,"Single Family",Sold,900,"Square Feet",7331,"Square Feet","2024-11-20 23:54:06",3705,78
35921943,35921937,"2041 W Wesley Rd NW",Atlanta,GA,30327,1516400,"Single Family",Other,4400,"Square Feet",2,Acres,"2024-11-20 23:54:06",8644,79
35855662,35855663,"1848 Calloway Dr NW",Atlanta,GA,30314,270300,"Single Family",Other,2181,"Square Feet",9591,"Square Feet","2024-11-20 23:54:06",11798,80
71753253,71758182,"455 Glen Iris Dr NE UNIT V",Atlanta,GA,30308,430400,Townhouse,Other,1225,"Square Feet",1224,"Square Feet","2024-11-20 22:18:43",5605,81
69375258,69376323,"2824 Brookford Ln SW",Atlanta,GA,30331,409800,"Single Family",Other,2946,"Square Feet",0,Acres,"2024-11-20 22:18:43",16980,82
2132563976,88811636,"870 Mayson Turner Rd NW UNIT 1143",Atlanta,GA,30314,129200,Apartment,Other,825,"Square Feet",766,"Square Feet","2024-11-20 22:18:43",51114,83
