zpid,schoolName,schoolRating,type,gradeLevel,grades,distanceFromListing,link,lastUpdated,lsi_id,lnh_id
352643528,"Pinnacle High School",8,Public,Middle,7-12,2.2,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-20 23:54:07",485,NULL
28485399,"Smith Elementary School",1,Public,Elementary,1-5,0.5,https://www.greatschools.org/texas/houston/197-Smith-Academy/,"2024-11-28 06:03:26",486,NULL
28351202,"Smith Elementary School",1,Public,Elementary,1-5,1.1,https://www.greatschools.org/texas/houston/197-Smith-Academy/,"2024-11-27 06:13:47",487,NULL
52524679,"Pinnacle High School",8,Public,Middle,7-12,1.3,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-20 23:54:07",488,NULL
95182109,"Pinnacle High School",8,Public,Middle,7-12,1.2,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-20 23:54:07",489,NULL
7993981,"Pinnacle High School",8,Public,Middle,7-12,1.9,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-20 23:54:07",490,NULL
95174080,"Pinnacle High School",8,Public,Middle,7-12,1,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-20 23:54:07",491,NULL
423637687,"Pinnacle High School",8,Public,Middle,7-12,1.3,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-29 05:32:39",492,NULL
95137298,"Pinnacle High School",8,Public,Middle,7-12,0.7,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-28 06:03:26",493,NULL
318217090,"Pinnacle High School",8,Public,Middle,7-12,1,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-28 06:03:26",494,NULL
7994230,"Pinnacle High School",8,Public,Middle,7-12,2,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-28 06:03:26",495,NULL
7988200,"Pinnacle High School",8,Public,Middle,7-12,0.6,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-27 06:13:47",496,NULL
7985793,"Pinnacle High School",8,Public,Middle,7-12,0.8,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-27 09:23:19",497,NULL
95174080,"Pinnacle High School",8,Public,Middle,7-12,1,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-21 11:09:29",498,NULL
95182109,"Pinnacle High School",8,Public,Middle,7-12,1.2,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-21 11:09:29",499,NULL
7993981,"Pinnacle High School",8,Public,Middle,7-12,1.9,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-21 11:09:29",500,NULL
352643528,"Pinnacle High School",8,Public,Middle,7-12,2.2,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-21 11:09:29",501,NULL
52524679,"Pinnacle High School",8,Public,Middle,7-12,1.3,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-21 11:09:29",502,NULL
352643893,"Pinnacle High School",8,Public,Middle,7-12,1.9,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-21 14:20:38",503,NULL
