zpid,price,homeStatus,homeType,datePosted,streetAddress,city,state,zipcode,county,yearBuilt,livingArea,livingAreaUnits,rentZestimate,bathrooms,bedrooms,pageViewCount,favoriteCount,propertyTaxRate,timeOnZillow,dateSold,url,lastUpdated,pl_id,lsi_id,lph_id,ls_id
17066453,825000,"Recently Sold",Condo,2024-09-27,"701 Kettner Blvd UNIT 122","San Diego",CA,92101,"San Diego County",1983,1269,sqft,4683,2,3,186,6,1.17,9,2024-11-22,https://www.zillow.com/homedetails/701-Kettner-Blvd-UNIT-122-San-Diego-CA-92101/17066453_zpid/,"2024-11-23 09:30:22",813,48667,22002,2414
20947130,760000,"Recently Sold","Single Family",2024-08-05,"1310 W 84th St","Los Angeles",CA,90044,"Los Angeles County",1921,1285,sqft,3337,2,4,90,0,1.16,9,2024-11-22,https://www.zillow.com/homedetails/1310-W-84th-St-Los-Angeles-CA-90044/20947130_zpid/,"2024-11-23 09:30:22",814,63043,13432,2283
60971675,2030000,"Recently Sold","Single Family",2024-05-02,"6329 Blair Terrace S",Seattle,WA,98118,"King County",2004,4020,sqft,5668,4,4,67,3,0.77,9,2024-11-22,https://www.zillow.com/homedetails/6329-Blair-Ter-S-Seattle-WA-98118/60971675_zpid/,"2024-11-23 09:30:22",815,32189,41645,2498
333211363,1285000,"Recently Sold",Condo,2024-11-13,"1388 Kettner Blvd #509","San Diego",CA,92101,"San Diego County",2019,1375,sqft,6312,2,2,169,8,1.17,9,2024-11-22,https://www.zillow.com/homedetails/1388-Kettner-Blvd-509-San-Diego-CA-92101/333211363_zpid/,"2024-11-23 09:30:22",816,48666,50393,2579
20948823,800000,"Recently Sold","Single Family",2024-09-22,"1927 W 82nd St","Los Angeles",CA,90047,"Los Angeles County",1929,1664,sqft,3821,2,3,138,8,1.16,9,2024-11-22,https://www.zillow.com/homedetails/1927-W-82nd-St-Los-Angeles-CA-90047/20948823_zpid/,"2024-11-23 09:30:22",817,63141,21920,2641
48662278,715000,"Recently Sold",Condo,2024-06-07,"121 Vine Street UNIT 1403",Seattle,WA,98121,"King County",1989,1065,sqft,3323,2,2,278,10,0.77,9,2024-11-22,https://www.zillow.com/homedetails/121-Vine-St-UNIT-1403-Seattle-WA-98121/48662278_zpid/,"2024-11-23 09:30:22",818,19449,2741,2490
17075756,1150000,"Recently Sold","Single Family",2024-10-06,"2238 31st St","San Diego",CA,92104,"San Diego County",1947,1049,sqft,4334,2,3,1401,55,1.17,9,2024-11-22,https://www.zillow.com/homedetails/2238-31st-St-San-Diego-CA-92104/17075756_zpid/,"2024-11-23 09:30:22",819,48669,50363,2649
20538689,4900000,"Recently Sold","Single Family",2024-09-06,"1379 Beckwith Ave","Los Angeles",CA,90049,"Los Angeles County",1953,3669,sqft,18408,5,4,137,2,1.16,9,2024-11-22,https://www.zillow.com/homedetails/1379-Beckwith-Ave-Los-Angeles-CA-90049/20538689_zpid/,"2024-11-23 09:30:22",820,39288,13772,2972
30792242,558000,"For Sale","Single Family",2024-11-28,"7 Lake Ave",Brooklyn,NY,11235,"Kings County",1920,700,sqft,2683,1,2,231,13,0.71,9,NULL,https://www.zillow.com/homedetails/7-Lake-Ave-Brooklyn-NY-11235/30792242_zpid/,"2024-11-29 05:32:39",821,11411,54485,8169
17010993,930000,"Recently Sold","Multi Family",2024-10-04,"3347-49 N 43rd St","San Diego",CA,92105,"San Diego County",1958,1728,sqft,3597,2,4,48,0,1.17,9,2024-11-22,https://www.zillow.com/homedetails/3347-49-N-43rd-St-San-Diego-CA-92105/17010993_zpid/,"2024-11-23 09:30:22",822,22206,50366,2376
